OA: 0.9923  MP: 0.9494  MR: 0.9396  MIoU: 0.8993  FWIoU: 0.9853  MDice: 0.9445  ID: In_71
OA: 0.9971  MP: 0.9682  MR: 0.9176  MIoU: 0.8948  FWIoU: 0.9944  MDice: 0.9422  ID: In_72
OA: 0.9907  MP: 0.9568  MR: 0.9432  MIoU: 0.9081  FWIoU: 0.9821  MDice: 0.9500  ID: In_73
OA: 0.9812  MP: 0.9382  MR: 0.9319  MIoU: 0.8830  FWIoU: 0.9645  MDice: 0.9350  ID: In_75
OA: 0.9761  MP: 0.9436  MR: 0.9141  MIoU: 0.8717  FWIoU: 0.9545  MDice: 0.9286  ID: In_76
OA: 0.9885  MP: 0.9575  MR: 0.8529  MIoU: 0.8287  FWIoU: 0.9776  MDice: 0.9022  ID: In_78
OA: 0.9910  MP: 0.9035  MR: 0.9554  MIoU: 0.8727  FWIoU: 0.9837  MDice: 0.9287  ID: In_82
OA: 0.9881  MP: 0.9351  MR: 0.9102  MIoU: 0.8640  FWIoU: 0.9775  MDice: 0.9225  ID: In_85
OA: 0.9910  MP: 0.8751  MR: 0.9754  MIoU: 0.8593  FWIoU: 0.9842  MDice: 0.9225  ID: In_96
OA: 0.9679  MP: 0.9748  MR: 0.9133  MIoU: 0.8906  FWIoU: 0.9373  MDice: 0.9431  ID: Pa_1
OA: 0.9525  MP: 0.9530  MR: 0.9494  MIoU: 0.9068  FWIoU: 0.9092  MDice: 0.9512  ID: Pa_119
OA: 0.9372  MP: 0.8906  MR: 0.8625  MIoU: 0.7898  FWIoU: 0.8857  MDice: 0.8764  ID: Pa_12
OA: 0.9448  MP: 0.9430  MR: 0.8940  MIoU: 0.8482  FWIoU: 0.8952  MDice: 0.9179  ID: Pa_128
OA: 0.9456  MP: 0.9414  MR: 0.8665  MIoU: 0.8226  FWIoU: 0.8967  MDice: 0.9024  ID: Pa_139
OA: 0.9236  MP: 0.9239  MR: 0.9229  MIoU: 0.8576  FWIoU: 0.8580  MDice: 0.9234  ID: Pa_142
OA: 0.9630  MP: 0.9604  MR: 0.9292  MIoU: 0.8953  FWIoU: 0.9288  MDice: 0.9446  ID: Pa_146
OA: 0.9779  MP: 0.8967  MR: 0.9321  MIoU: 0.8495  FWIoU: 0.9600  MDice: 0.9141  ID: Pa_156
OA: 0.9640  MP: 0.9650  MR: 0.9266  MIoU: 0.8962  FWIoU: 0.9304  MDice: 0.9454  ID: Pa_16
OA: 0.9874  MP: 0.9810  MR: 0.9435  MIoU: 0.9273  FWIoU: 0.9753  MDice: 0.9619  ID: Pa_162
OA: 0.9623  MP: 0.9465  MR: 0.9394  MIoU: 0.8939  FWIoU: 0.9283  MDice: 0.9430  ID: Pa_165
OA: 0.9825  MP: 0.9712  MR: 0.9604  MIoU: 0.9347  FWIoU: 0.9660  MDice: 0.9658  ID: Pa_170
OA: 0.9316  MP: 0.8923  MR: 0.8690  MIoU: 0.7946  FWIoU: 0.8756  MDice: 0.8805  ID: Pa_178
OA: 0.9558  MP: 0.9520  MR: 0.9338  MIoU: 0.8924  FWIoU: 0.9156  MDice: 0.9428  ID: Pa_179
OA: 0.8322  MP: 0.9023  MR: 0.6853  MIoU: 0.5922  FWIoU: 0.6960  MDice: 0.7790  ID: Pa_18
OA: 0.9392  MP: 0.9433  MR: 0.9132  MIoU: 0.8643  FWIoU: 0.8847  MDice: 0.9280  ID: Pa_194
OA: 0.9499  MP: 0.9334  MR: 0.9298  MIoU: 0.8740  FWIoU: 0.9060  MDice: 0.9316  ID: Pa_197
OA: 0.8838  MP: 0.8535  MR: 0.8801  MIoU: 0.7651  FWIoU: 0.7981  MDice: 0.8666  ID: Pa_199
OA: 0.6196  MP: 0.6981  MR: 0.6824  MIoU: 0.4478  FWIoU: 0.4418  MDice: 0.6902  ID: Pa_215
OA: 0.7472  MP: 0.7990  MR: 0.7539  MIoU: 0.5881  FWIoU: 0.5861  MDice: 0.7758  ID: Pa_218
OA: 0.7902  MP: 0.8611  MR: 0.6720  MIoU: 0.5550  FWIoU: 0.6322  MDice: 0.7549  ID: Pa_223
OA: 0.9182  MP: 0.8834  MR: 0.8342  MIoU: 0.7600  FWIoU: 0.8517  MDice: 0.8581  ID: Pa_242
OA: 0.9164  MP: 0.9090  MR: 0.8875  MIoU: 0.8166  FWIoU: 0.8462  MDice: 0.8981  ID: Pa_247
OA: 0.9916  MP: 0.9624  MR: 0.9836  MIoU: 0.9478  FWIoU: 0.9839  MDice: 0.9729  ID: Pa_251
OA: 0.9679  MP: 0.9170  MR: 0.8789  MIoU: 0.8239  FWIoU: 0.9402  MDice: 0.8975  ID: Pa_252
OA: 0.9670  MP: 0.9480  MR: 0.8756  MIoU: 0.8393  FWIoU: 0.9370  MDice: 0.9104  ID: Pa_255
OA: 0.8995  MP: 0.9160  MR: 0.8364  MIoU: 0.7685  FWIoU: 0.8141  MDice: 0.8744  ID: Pa_284
OA: 0.9736  MP: 0.9723  MR: 0.9477  MIoU: 0.9229  FWIoU: 0.9486  MDice: 0.9598  ID: Pa_29
OA: 0.9444  MP: 0.9414  MR: 0.9353  MIoU: 0.8844  FWIoU: 0.8948  MDice: 0.9384  ID: Pa_295
OA: 0.8525  MP: 0.8761  MR: 0.7793  MIoU: 0.6864  FWIoU: 0.7360  MDice: 0.8249  ID: Pa_299
OA: 0.9874  MP: 0.9759  MR: 0.9399  MIoU: 0.9199  FWIoU: 0.9754  MDice: 0.9575  ID: Pa_50
OA: 0.9483  MP: 0.9505  MR: 0.8924  MIoU: 0.8517  FWIoU: 0.9012  MDice: 0.9205  ID: Pa_53
OA: 0.9827  MP: 0.9706  MR: 0.9612  MIoU: 0.9349  FWIoU: 0.9664  MDice: 0.9658  ID: Pa_55
OA: 0.9933  MP: 0.9635  MR: 0.9680  MIoU: 0.9354  FWIoU: 0.9870  MDice: 0.9657  ID: Pa_61
OA: 0.9837  MP: 0.9390  MR: 0.9590  MIoU: 0.9055  FWIoU: 0.9692  MDice: 0.9489  ID: Pa_68
OA: 0.9830  MP: 0.9110  MR: 0.9589  MIoU: 0.8806  FWIoU: 0.9689  MDice: 0.9343  ID: Pa_72
